Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/chat/completions (non-stream),47,47,19,18.43713960075315,6.943642161786556,30.920404940843582,141.0,3.350965853318234,3.350965853318234,19,21,23,24,26,29,31,31,31,31,31
GET,/api/v1/health,8,0,7,8.754060254432261,3.1871688552200794,21.928831934928894,109.0,0.5703771665222526,0.0,8,8,8,8,22,22,22,22,22,22,22
GET,/api/v1/personalities,9,0,6,6.047040896697177,2.043602056801319,10.944315697997808,1100.0,0.6416743123375341,0.0,6,6,8,9,11,11,11,11,11,11,11
,Aggregated,64,47,15,15.484397052205168,2.043602056801319,30.920404940843582,271.859375,4.5630173321780205,3.350965853318234,15,20,22,23,25,29,31,31,31,31,31
