Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/chat/completions (non-stream),1,1,20.2938849106431,20.2938849106431,20.2938849106431,20.2938849106431,141.0,0.4260642199039038,0.4260642199039038,20,20,20,20,20,20,20,20,20,20,20
GET,/api/v1/personalities,1,0,7.202801760286093,7.202801760286093,7.202801760286093,7.202801760286093,1100.0,0.4260642199039038,0.0,7,7,7,7,7,7,7,7,7,7,7
,Aggregated,2,1,7.202801760286093,13.748343335464597,7.202801760286093,20.2938849106431,620.5,0.8521284398078076,0.4260642199039038,20,20,20,20,20,20,20,20,20,20,20
